
Ciclo,Codigo,Curso,Creditos,HT,HP,HL,TH,
1,101,ANÁLISIS MATEMÁTICO,4,2,4,0,6,
1,102,QUÍMICA GENERAL,4,2,4,0,6,
1,103,INTRODUCCIÓN A LA INGENIERÍA INDUSTRIAL,3,2,2,0,4,
1,104,MECÁNICA,4,2,4,0,6,
1,105,DISEÑO ASISTIDO POR COMPUTADORA I,4,2,4,0,6,
1,106,LENGUA CASTELLANA,2,1,2,0,3,
1,107,NTACs NUEVAS TECNOLOGÍAS DE APRENDIZAJE,3,2,2,0,4,
2,151,CÁLCULO DIFERENCIAL E INTEGRAL,4,3,2,0,5,
2,152,QUÍMICA APLICADA,4,2,4,0,6,
2,153,INTELIGENCIA EMOCIONAL,3,2,2,0,4,
2,154,RESISTENCIA DE MATERIALES,4,2,4,0,6,
2,155,DISEÑO ASISTIDO POR COMPUTADORAS II,4,2,4,0,6,
2,156,COMPRENSIÓN Y REDACCIÓN DE TEXTOS,2,1,2,0,3,
2,157,INGLES I,2,1,2,0,3,
3,201,ECUACIONES DIFERENCIALES,4,2,4,0,6,
3,202,OPERACIONES INDUSTRIALES,4,2,4,0,6,
3,203,ELECTRICIDAD INDUSTRIAL,3,2,2,0,4,
3,204,ELECTRICIDAD Y MAGNETISMO,3,1,4,0,5,
3,205,MECANICA PARA INGENIEROS,4,2,4,0,6,
3,206,LOGICO MATEMATICA,3,2,2,0,4,
3,207,INGLES II,3,2,2,0,4,
4,251,ESTADISTICA EMPRESARIAL,4,2,4,0,6,
4,252,PROCESOS INDUSTRIALES,4,2,4,0,6,
4,253,MARKETING EMPRESARIAL,3,2,2,0,4,
4,254,SIMULACION DE PROCESOS,4,2,4,0,6,
4,255,INGENIERIA DE MATERIALES,3,1,4,0,5,
4,256,FILOSOFIA DE LA CIENCIA Y LA TECNOLOGIA,2,1,2,0,3,
4,257,INGLES III,3,2,2,0,4,
5,301,ESTADISTICA EXPERIMENTAL,3,2,2,0,4,
5,302,GESTION ORGANIZACIONAL,3,2,2,0,4,
5,303,INGENIERÍA DE COSTOS,3,2,2,0,4,
5,304,INVESTIGACION TECNÓLOGICA,3,2,2,0,4,
5,305,PROCESOS DE MANUFACTURA,3,2,2,0,4,
5,306,REALIDAD NACIONAL E INTERNACIONAL,3,2,2,0,4,
5,307,ECONOMIA PARA LA GESTIÓN (e),4,3,2,0,5,
5,308,AGROINDUSTRIA (e),4,3,2,0,5,
6,351,INGENIERÍA DE MÉTODOS Y ERGONOMÍA,4,2,4,0,6,
6,352,SISTEMA DE INFORMACIÓN GERENCIAL,3,2,2,0,4,
6,353,INGENIERÍA DEL VALOR,3,2,2,0,4,
6,354,INNOVACIÓN,3,2,2,0,4,
6,355,SIMULACIÓN ESTADÍSTICA,3,2,2,0,4,
6,356,TALLERES DE ARTE,2,1,2,0,3,
6,357,TERMODINAMICA APLICADA (e),4,3,2,0,5,
6,358,BIO INGENIERÍA (e),4,3,2,0,5,
7,401,INVESTIGACIÓN DE OPERACIONES I,4,2,4,0,6,
7,402,GESTIÓN INTEGRAL DE LA CALIDAD,4,2,4,0,6,
7,403,FINANZAS,3,2,2,0,4,
7,404,ADMINISTRACION Y PROSPECTIVA DE LA TECNOLOGIA,3,2,2,0,4,
7,405,DISTRIBUCION DE PLANTA,3,2,2,0,4,
7,406,EMPRENDIMIENTO E INNOVACION,3,2,2,0,4,
7,407,LEAN MANUFACTURING (e),4,3,2,0,5,
7,408,GESTION Y DIRECCION DE EMPRESAS (e),4,3,2,0,5,
8,451,PLANIFICACION Y CONTROL DE OPERACIONES,4,2,4,0,6,
8,452,GESTION DEL MANTENIMIENTO PRODUCTIVO TOTAL,3,2,2,0,4,
8,453,DISTRIBUCION FISICA INTERNACIONAL,3,2,2,0,4,
8,454,INICIATIVA EMPRESARIAL,3,2,2,0,4,
8,455,GESTION POR PROCESOS,3,2,2,0,4,
8,456,ÉTICA RESPONSABILIDAD SOCIAL Y AMBIENTAL, DISCAPACITADOS,4,3,2,0,5,
8,457,SEGURIDAD Y SALUD OCUPACIONAL (e),4,3,2,0,5,
8,458,INVESTIGACIÓN DE OPERACIONES II (e),4,3,2,0,5,
8,459,PRÁCTICAS PRE PROFESIONALES,8,0,16,0,16,
9,501,INDUSTRIAL AUTOMATION CONTROL SYSTEMS,4,2,4,0,6,
9,502,PROYECTOS DE INVERSION,4,2,4,0,6,
9,503,NORMAS Y DIPLOMACIA INTERNACIONAL,2,1,2,0,3,
9,504,DESARROLLO Y PATENTAMIENTO DE TECNOLOGIAS,3,2,2,0,4,
9,505,PROYECTO DE TESIS I,3,2,2,0,4,
9,506,DEONTOLOGIA PROFESIONAL,3,2,2,0,4,
9,507,SISTEMA DE INNOVACION TECNOLOGICA (e),4,3,2,0,5,
9,508,PRODUCCION SINCRONICA (e),4,3,2,0,5,
10,551,LABORATORIO DE AUTOMATIZACION,4,2,4,0,6,
10,552,GESTION ESTRATÉGICA,4,2,4,0,6,
10,553,INTERNATIONAL BUSSINES,3,2,2,0,4,
10,554,PROJECT MANEGEMENT TECHNOLOGY,3,2,2,0,4,
10,555,PROYECTO DE TESIS II,3,2,2,0,4,
10,556,GESTION DE PROYECTOS (e),4,3,2,0,5,
10,557,LOGISTICA INTERNACIONAL (e),4,3,2,0,5,
