Ciclo,Codigo,Curso,Creditos,HT,HP,HL,TH,
1,101,ANÁLISIS MATEMÁTICO,4,3,2,0,5,
1,102,MECÁNICA,4,2,4,0,6,
1,103,QUÍMICA GENERAL,4,3,2,0,5,
1,104,DIBUJO ASISTIDO POR COMPUTADOR,3,1,4,0,5,
1,105,INTRODUCCIÓN A LA INGENIERÍA ELECTRÓNICA,3,2,2,0,4,
1,106,LENGUA CASTELLANA,3,3,0,0,3,
1,107,NTACs NUEVAS TECNOLOGÍAS DE APRENDIZAJE,3,2,2,0,4,
2,151,CÁLCULO DIFERENCIAL E INTEGRAL,4,3,2,0,5,
2,152,MECÁNICA DE FLUIDOS,4,2,4,0,6,
2,153,ALGEBRA LINEAL,3,2,2,0,4,
2,154,FUNDAMENTOS Y METODOLOGÍA DE LA PROGRAMACIÓN,2,1,2,0,3,
2,155,CIRCUITOS ELÉCTRICOS,5,2,6,0,8,
2,156,COMPRENSIÓN Y REDACCIÓN DE TEXTOS,3,2,2,0,4,
2,157,INGLES I,2,2,0,0,2,
3,201,ECUACIONES DIFERENCIALES,4,3,2,0,5,
3,202,ELECTRICIDAD Y MAGNETISMO,4,2,4,0,6,
3,203,ESTADISTICA DESCRIPTIVA,3,2,2,0,4,
3,204,PROGRAMACION ORIENTADA A OBJETOS,4,2,4,0,6,
3,205,CIRCUITOS DIGITALES,3,2,2,0,4,
3,206,LOGICA MATEMATICA,3,2,2,0,4,
3,207,INGLES II,3,2,2,0,4,
4,251,METODOS MATEMATICOS PARA INGENIERIA,4,3,2,0,5,
4,252,DISPOSITIVOS ELECTRONICOS,4,2,4,0,6,
4,253,METODOLOGIA DE LA INVESTIGACION,2,2,0,0,2,
4,254,ELECTRICIDAD INDUSTRIAL,4,2,4,0,6,
4,255,SISTEMAS DIGITALES,4,2,4,0,6,
4,256,FILOSOFIA DE LA CIENCIA Y DE LATECNOLOGIA,3,3,0,0,3,
4,257,INGLES III,3,2,2,0,4,
5,301,SEÑALES Y SISTEMAS,4,2,4,0,6,
5,302,TEORIA DE CAMPOS ELECTRO MAGNETICOS,4,3,2,0,5,
5,303,MICRO CONTROLADORES,3,2,2,0,4,
5,304,REDES ELECTRICAS,3,2,2,0,4,
5,305,CIRCUITOS ANALOGICOS I,5,2,6,0,8,
5,306,TALLER DE INNOVACION TECNOLÓGICA,2,1,2,0,3,
5,307,EMPRENDIMIENTO E INNOVACION,3,3,0,0,3,
6,351,PROCESAMIENTO DIGITAL DE SEÑALES,4,2,4,0,6,
6,352,RADIOPROPAGACION,4,2,4,0,6,
6,353,TEORIA DE CONTROL I,3,2,2,0,4,
6,354,MAQUINAS ELECTRICAS,3,2,2,0,4,
6,355,CIRCUITOS ANALOGICOS II,5,2,6,0,8,
6,356,REALIDAD NACIONAL E INTERNACIONAL,3,3,0,0,3,
7,401,COMUNICACIONES ANALOGICAS,3,2,2,0,4,
7,402,SISTEMAS DE RADIOFUSION,4,2,4,0,6,
7,403,TEORIA DE CONTROL II,3,2,2,0,4,
7,404,INSTRUMENTACION INDUSTRIAL,3,2,2,0,4,
7,405,DISEÑO ELECTRONICO,3,1,4,0,5,
7,406,SISTEMAS EMBEBIDOS (ce),3,2,2,0,4,
7,407,TALLERES DE ARTE,3,3,0,0,3,
8,451,COMUNICACIONES DIGITALES,3,2,2,0,4,
8,452,SISTEMAS DE RADIO COMUNICACIÓN,4,2,4,0,6,
8,453,INGENIERÍA DE CONTROL,3,2,2,0,4,
8,454,SISTEMAS ELECTRÓNICOS DE POTENCIA,3,2,2,0,4,
8,455,GESTIÓN DE PROYECTOS DE INGENIERÍA,3,2,2,0,4,
8,456,SISTEMAS DE TELEFONÍA (ce),3,2,2,0,4,
8,457,ETICA Y RESPONSABILIDAD SOCIALY AMBIENTAL,4,4,0,0,4,
9,501,REDES DE COMUNICACIONES,3,2,2,0,4,
9,502,MICROONDAS Y COMUNICACIONES VIA SATÉLITE,3,2,2,0,4,
9,503,INDUSTRIAL AUTOMATION CONTROL SYSTEM,4,2,4,0,6,
9,504,PROYECTOS ELECTRÓNICOS,3,1,4,0,5,
9,505,PROYECTOS DE TESIS,4,4,0,0,4,
9,506,TRANSMISIÓN DE DATOS (ce),3,2,2,0,4,
9,507,DEONTOLOGÍA PROFESIONAL Y DISCAPACIDAD,3,3,0,0,3,
9,508,PRACTICAS PRE PROFESIONALES,8,0,16,0,16,
10,551,REDES DE BANDA ANCHA,3,2,2,0,4,
10,552,COMUNICACIONES MÓVILE E INALÁMBRICAS,3,2,2,0,4,
10,553,ROBOTICS & CONTROL SYSTEM,4,2,4,0,6,
10,554,INDUSTRIAL SAFETY,3,2,2,0,4,
10,555,PROYECTO DE TESIS II,4,4,0,0,4,
10,556,COMUNICACIONES OPTICAS (ce),3,2,2,0,4,
10,557,MAANUFACTURA INTEGRADA POR COMPUTADOR(ce),3,2,2,0,4,
